Company ID,Company Name,Stored Career URL,Observed Type,Current Signal,Recommended Parser,Assessment,Action,Verified Source URL
C0083,ATI Limited,https://www.atilimited.net/career,STATIC_HTML,No openings detected,generic_html,Open Positions section is server-rendered; no role cards currently visible.,KEEP,https://www.atilimited.net/career
C0095,Beyond Bracket Ltd,https://beyondbracket.com/category/career/,WORDPRESS_LIST_DETAIL,Openings detected,list_detail_html,Career category contains job posts and pagination; follow each post for details.,KEEP,https://beyondbracket.com/category/career/
C1026,Business Automation Ltd,https://ba-systems.com/careers,CUSTOM_OR_JS,Job detail endpoint found,custom_adapter,"Career page did not expose content cleanly, but /job-details/184 is indexed. Discover listing/API or use browser fallback.",CUSTOM,https://ba-systems.com/job-details/184
C0030,CodesBreak,https://codesbreak.com/career/,ACCESS_ISSUE,Official career page not verified,manual_or_runtime_test,Crawler fetch was blocked by robots/access checking. Do not bypass protections; test from production runtime and disable if unsupported.,REVIEW,https://codesbreak.com/career/
C0075,Dcastalia Limited,https://dcastalia.com/career,STATIC_HTML,1 current opening observed,generic_html,"Server-rendered job section includes title, deadline, location, experience, requirements and Apply link.",KEEP,https://dcastalia.com/career
C0023,Devxhub,https://www.devxhub.com/career,STATIC_HTML,Explicitly no current opening,generic_html,Page explicitly says there is no opening and offers a future-candidate form.,KEEP,https://www.devxhub.com/career
C0109,Dhrubok Infotech,https://dhrubokinfotech.com/career,STATIC_HTML,No current opening detected,generic_html,Career content is indexable and currently asks candidates to drop CVs for future vacancies.,KEEP,https://dhrubokinfotech.com/career
C0087,Dohatec New Media,https://www.dohatec.com/careers,STATIC_CONTACT_ONLY,No listed opening on official page,generic_html,Official careers page contains recruiting copy and HR email but no job list.,KEEP,https://www.dohatec.com/careers
C0036,Dream71,https://dream71.com/career,STATIC_HTML,Explicitly no job available,generic_html,Career page has Available Jobs section followed by No Job Available.,KEEP,https://dream71.com/career
C0020,eGeneration Ltd,https://egeneration.co/career.html,STATIC_TEXT_LIST,Multiple openings detected,configured_selectors,Career page exposes a plain list of job titles; build selectors/text extraction for title list.,KEEP,https://egeneration.co/career.html
C0176,FiftyTwo Digital,https://fiftytwodigital.com/careers/,STATIC_LIST_DETAIL,1 current opening observed,list_detail_html,Current Open Positions section links to a detailed job page with requirements and location.,KEEP,https://fiftytwodigital.com/careers/
C0019,Genex Infosys,https://genexinfosys.com/position.php,STALE_URL_STATIC_REPLACEMENT,Many openings detected on replacement URL,list_detail_html,Stored URL appears outdated. Current careers page is https://genexinfosys.com/career and exposes many openings.,UPDATE_URL,https://genexinfosys.com/career
C0961,"Get Web, Inc.",https://getwebinc.com/careers/,BOT_CHALLENGE,Career page unavailable to normal crawler,skip_or_manual,Page returns a challenge/interstitial. Do not build anti-bot bypassing into MVP. Keep disabled or manually source jobs elsewhere.,DISABLE_FOR_MVP,https://getwebinc.com/careers/
C0160,Hsenid Mobile Solutions,https://hsenidmobile.com/careers/,STATIC_LIST_DETAIL_COMPLEX,Job cards/details exist; active state needs care,custom_selectors,"HTML lists role cards and detail pages, but also contains no-active-vacancy notices. Use company-specific selectors/status rules.",CUSTOM,https://hsenidmobile.com/careers/
C0021,iBOS Ltd,https://ibos.io/career/,STATIC_TABLE,1 current opening observed,generic_table,"Open Positions table exposes title, vacancy count and experience in server-rendered HTML.",KEEP,https://ibos.io/career/
C0091,Implevista,https://www.implevista.com/career,STALE_OR_SECONDARY_DOMAIN,Explicitly no current posting on canonical BD career page,generic_html,Prefer https://implevista.com.bd/career; that page explicitly says no job posting is currently available.,UPDATE_URL,https://implevista.com.bd/career
C0027,Incrosoft,https://incrosoft.com/careers/apply,CUSTOM_OR_JS,Featured openings visible via indexed homepage,playwright_or_custom_adapter,"The supplied apply URL does not expose useful text to the crawler, while the homepage advertises current positions. Inspect browser DOM/API before deciding on Playwright.",CUSTOM,https://incrosoft.com/
C0040,KonaSL,https://konasl.com/careers#openings,STATIC_HTML,Explicitly no jobs available now,generic_html,Current openings section is server-rendered and currently says No jobs available for now.,KEEP,https://konasl.com/careers
C0089,Mevrik Ltd,https://www.mevrik.com/career,STATIC_LIST_DETAIL,4 current openings observed,list_detail_html,"Current Openings section exposes titles, experience, work type/mode and detail links.",KEEP,https://www.mevrik.com/career
C0153,Nascenia,https://nascenia.com/careers/,STATIC_FORM,Application form present; position options require HTML option parsing,configured_selectors,Likely parse the select/option values directly with Cheerio; no browser needed unless options are injected dynamically.,KEEP,https://nascenia.com/careers/
